title,date,url,day_of_week,days_to_rs
Mullen Eliminates $17.5 Million in Company Debt,2022-07-05,https://news.mullenusa.com/mullen-eliminates-17.5-million-in-company-debt,Tuesday,303
Mullen to Report Strongest Balance Sheet in Company’s History,2022-06-30,https://news.mullenusa.com/mullen-to-report-strongest-balance-sheet-in-companys-history,Thursday,308
Mullen Automotive Issues Update to Shareholders,2022-06-23,https://news.mullenusa.com/mullen-automotive-issues-update-to-shareholders,Thursday,315
Mullen Automotive Announces Filing of U.S. and International Patent Applications for Mullen FIVE EV Crossover,2022-06-22,https://news.mullenusa.com/mullen-automotive-announces-filing-of-u.s.-and-international-patent-applications-for-mullen-five-ev-crossover,Wednesday,316
Mullen Extends Maturity of Senior Secured Convertible Note,2022-06-21,https://news.mullenusa.com/mullen-extends-maturity-of-senior-secured-convertible-note,Tuesday,317
Mullen Automotive to be Added to the Russell 2000® and 3000® Indexes,2022-06-06,https://news.mullenusa.com/mullen-automotive-to-be-added-to-the-russell-2000-and-3000-indexes,Monday,332
Mullen Automotive CEO to Be Featured on Benzinga’s ‘All Access’ Series,2022-06-02,https://news.mullenusa.com/mullen-automotive-ceo-to-be-featured-on-benzingas-all-access-series,Thursday,336
Mullen Automotive Announces Impressive Solid-State Polymer Battery Test Results,2022-05-31,https://news.mullenusa.com/mullen-automotive-announces-impressive-solid-state-polymer-battery-test-results,Tuesday,338
Mullen Announces Hiring of Richard Curtis to President of International Operations,2022-05-20,https://news.mullenusa.com/mullen-announces-hiring-of-richard-curtis-to-president-of-international-operations,Friday,349
Mullen Automotive Announces Key New Hires to Fuel Company’s Growth,2022-05-17,https://news.mullenusa.com/mullen-automotive-announces-key-new-hires-to-fuel-companys-growth,Tuesday,352
Mullen and Development Partner Take Solid-State Polymer Battery Cell Technology to the Vehicle Pack Level,2022-05-16,https://news.mullenusa.com/mullen-and-development-partner-take-solid-state-polymer-battery-cell-technology-to-the-vehicle-pack-level,Monday,353
Mullen Reports Preliminary Summary of Financial Results for Second Quarter,2022-05-13,https://news.mullenusa.com/mullen-reports-preliminary-summary-of-financial-results-for-second-quarter,Friday,356
Mullen Issues Update on Its Solid-State Polymer Battery Testing,2022-05-10,https://news.mullenusa.com/mullen-issues-update-on-its-solid-state-polymer-battery-testing,Tuesday,359
Mullen Adds High-Performance Mullen FIVE RS to Its ‘Strikingly Different’ U.S. Test Drive Tour; New 2023 Stops Announced,2022-05-05,https://news.mullenusa.com/mullen-adds-high-performance-mullen-five-rs-to-its-strikingly-different-u.s.-test-drive-tour-new-2023-stops-announced,Thursday,364
Coming to a City Near You: Mullen Announces U.S. Test Drive Tour for the Mullen FIVE EV Crossover,2022-05-03,https://news.mullenusa.com/coming-to-a-city-near-you-mullen-announces-u.s-test-drive-tour-for-the-mullen-five-ev-crossover,Tuesday,366
Mullen Automotive Files U.S. Department of Energy ATVM Loan Application for Mullen ONE EV Cargo Van Program,2022-05-02,https://news.mullenusa.com/mullen-automotive-files-u.s.-department-of-energy-atvm-loan-application-for-mullen-one-ev-cargo-van-program,Monday,367
The Buzz EV News Features Mullen Automotive in ‘What Is the Mullen FIVE & What’s Next for the EV Maker – Q&A’,2022-04-25,https://news.mullenusa.com/the-buzz-ev-news-features-mullen-automotive-in-what-is-the-mullen-five-whats-next-for-the-ev-maker-qa,Monday,374
"Mullen to Conduct Solid-State Polymer Battery Cell Testing with Leading Independent Facility, Battery Innovation Center (BIC), in Indiana",2022-04-21,https://news.mullenusa.com/mullen-to-conduct-solid-state-polymer-battery-cell-testing-with-leading-independent-facility-battery-innovation-center-bic-in-indiana,Thursday,378
"Mullen Automotive to Begin Construction for EV Battery Pack Production at High Voltage R&D Facility in Monrovia, California",2022-04-18,https://news.mullenusa.com/mullen-automotive-to-begin-construction-for-ev-battery-pack-production-at-high-voltage-rd-facility-in-monrovia-california,Monday,381
"Mullen Promotes John Taylor, Former Tesla Executive, to Global Manufacturing and Strategic Planning Head as EV Business Expands",2022-04-04,https://news.mullenusa.com/mullen-promotes-john-taylor-former-tesla-executive-to-global-manufacturing-and-strategic-planning-head-as-ev-business-expands,Monday,395
Mullen Strengthens Balance Sheet,2022-03-28,https://news.mullenusa.com/mullen-strengthens-balance-sheet,Monday,402
Leading Publication ‘Wccf Tech’ Reports Mullen Automotive Continues to Receive Strong Interest From a Growing and Devoted Group of Mullen FIVE Enthusiasts,2022-03-24,https://news.mullenusa.com/leading-publication-wccf-tech-reports-mullen-automotive-continues-to-receive-strong-interest-from-a-growing-and-devoted-group-of-mullen-five-enthusiasts,Thursday,406
Mullen Automotive Featured by Yahoo Finance Live,2022-03-17,https://news.mullenusa.com/mullen-automotive-featured-by-yahoo-finance-live,Thursday,413
"Mullen Featured on CarBuzz; The FIVE EV Crossover, Production Plans and Market Strategy Discussed",2022-03-14,https://news.mullenusa.com/mullen-featured-on-carbuzz-the-five-ev-crossover-production-plans-and-market-strategy-discussed,Monday,416
Financial Website Insider Monkey Names Mullen Automotive a Top Penny Stock to Buy in March,2022-03-09,https://news.mullenusa.com/financial-website-insider-monkey-names-mullen-automotive-a-top-penny-stock-to-buy-in-march,Wednesday,421
EV Manufacturer Mullen Announces Progress on Solid-State Polymer Battery Pack Development,2022-02-28,https://news.mullenusa.com/ev-manufacturer-mullen-announces-progress-on-solid-state-polymer-battery-pack-development,Monday,430
"Mullen Automotive Featured by WardsAuto™; Company’s Hybrid Retail Model, EVs, Manufacturing and Battery Tech Highlighted",2022-02-24,https://news.mullenusa.com/mullen-automotive-featured-by-wardsauto-companys-hybrid-retail-model-evs-manufacturing-and-battery-tech-highlighted,Thursday,434
Mullen Automotive Issues Letter to Shareholders,2022-02-17,https://news.mullenusa.com/mullen-automotive-issues-letter-to-shareholders,Thursday,441
Successful Consumer EV Market Study Reveals Mullen FIVE Scores High Against Tesla Model Y and Ford Mach-E,2022-02-14,https://news.mullenusa.com/successful-consumer-ev-market-study-reveals-mullen-five-scores-high-against-tesla-model-y-and-ford-mach-e,Monday,444
David Michery Shares Vision for Mullen Automotive on Industry Leading Podcast,2022-02-08,https://news.mullenusa.com/david-michery-shares-vision-for-mullen-automotive-on-industry-leading-podcast,Tuesday,450
Mullen Automotive Strengthens Balance Sheet,2022-02-07,https://news.mullenusa.com/mullen-automotive-strengthens-balance-sheet,Monday,451
"Mullen and Comau, a Leader in Industrial Automation, Team Up for Full-Scale Automotive Body Assembly at Mullen’s Tunica AMEC Facility",2022-01-31,https://news.mullenusa.com/mullen-and-comau-a-leader-in-industrial-automation-team-up-for-full-scale-automotive-body-assembly-at-mullens-tunica-amec-facility,Monday,458
Mullen Automotive Electric Vehicle Program Update,2022-01-13,https://news.mullenusa.com/mullen-automotive-electric-vehicle-program-update,Thursday,476
Mullen Automotive Named as a Top EV Startup to Watch Out for in 2022,2022-01-06,https://news.mullenusa.com/mullen-automotive-named-as-a-top-ev-startup-to-watch-out-for-in-2022,Thursday,483
Mullen Announces Strategic Partnership with DSA Systems for Over the Air (OTA) Technology and Vehicle System Diagnostics,2021-12-29,https://news.mullenusa.com/mullen-announces-strategic-partnership-with-dsa-systems-for-over-the-air-technology-and-vehicle-system-diagnostics,Wednesday,491
Mullen and Dürr Announce Partnership for Upcoming EV Manufacturing Footprint,2021-12-20,https://news.mullenusa.com/mullen-and-durr-announce-partnership-for-upcoming-ev-manufacturing-footprint,Monday,500
"Mullen and ARRK, a Leading German Automotive Engineering Company, Announce Partnership for Upcoming Mullen FIVE EV Crossover",2021-12-14,https://news.mullenusa.com/mullen-and-arrk-a-leading-german-automotive-engineering-company-announce-partnership-for-upcoming-mullen-five-ev-crossover,Tuesday,506
Mullen To Showcase The FIVE EV Crossover and Level 5 Autonomous Vehicle Technology at CES® (Consumer Electronic Show),2021-12-13,https://news.mullenusa.com/mullen-to-showcase-the-five-ev-crossover-and-level-5-autonomous-vehicle-technology-at-ces-consumer-electronic-show,Monday,507
Validation Process Commences for Mullen’s Class 2 EV Cargo Vans,2021-12-03,https://news.mullenusa.com/validation-process-commences-for-mullens-class-2-ev-cargo-vans,Friday,517
Mullen Announces Significant Customer Response to Debut of Mullen FIVE EV Crossover at LA Auto Show,2021-11-22,https://news.mullenusa.com/mullen-announces-significant-customer-response-to-debut-of-mullen-five-ev-crossover-at-la-auto-show,Monday,528
Mullen FIVE EV Crossover Debuts to the World and Wins ‘Top SUV’ Title at the 2021 LA Auto Show’s ZEVAS Awards,2021-11-18,https://news.mullenusa.com/mullen-five-ev-crossover-debuts-to-the-world-and-wins-top-suv-title-at-the-2021-la-auto-show-zevas-awards,Thursday,532
"Mullen to debut the FIVE EV Crossover Today, Nov. 17, 2021, at Los Angeles International Auto Show",2021-11-17,https://news.mullenusa.com/mullen-to-debut-the-five-ev-crossover-today-nov-17-2021-at-los-angeles-international-auto-show,Wednesday,533
"Mullen Automotive Announces It Now Owns Tunica, Mississippi, EV Assembly Plant Free and Clear",2021-11-15,https://news.mullenusa.com/mullen-automotive-announces-it-now-owns-tunica-mississippi-ev-assembly-plant-free-and-clear,Monday,535
Mullen Automotive Adds New Positions as Business Scales,2021-11-09,https://news.mullenusa.com/mullen-automotive-adds-new-positions-as-business-scales,Tuesday,541
Mullen Issues Letter to Shareholders on Merger Completion,2021-11-09,https://news.mullenusa.com/mullen-issues-letter-to-shareholders-on-merger-completion,Tuesday,541
Mullen Automotive Commences Trading on NASDAQ,2021-11-05,https://news.mullenusa.com/mullen-automotive-commences-trading-on-nasdaq,Friday,545
Mullen Automotive Updates Investors on Post Merger Share Count,2021-11-04,https://news.mullenusa.com/mullen-automotive-updates-investors-on-post-merger-share-count,Thursday,546
Mullen Automotive Begins Expansion Plans for 1.2M sq. ft. of Additional EV Manufacturing Space,2021-11-02,https://news.mullenusa.com/mullen-automotive-begins-expansion-plans-for-1.2m-sq.-ft.-of-additional-ev-manufacturing-space,Tuesday,548
"Net Element Inc., Mullen Automotive Announce Receipt of Conditional Approval to List on Nasdaq Capital Markets",2021-10-31,https://news.mullenusa.com/net-element-inc.-mullen-automotive-announce-receipt-of-conditional-approval-to-list-on-nasdaq-capital-markets,Sunday,550
Mullen Adds Vehicle Engineering and Homologation Expertise to Drive Efficiency and Decrease Time to Market,2021-10-28,https://news.mullenusa.com/mullen-adds-vehicle-engineering-and-homologation-expertise-to-drive-efficiency-and-decrease-time-to-market,Thursday,553
Mullen Receives Conditional Approval to List on Nasdaq Capital Markets,2021-10-27,https://news.mullenusa.com/mullen-receives-conditional-approval-to-list-on-nasdaq-capital-markets,Wednesday,554
Mullen FIVE EV Crossover Nominated for Top EV as Part of 2021 LA Auto Show’s ZEVA Awards,2021-10-14,https://news.mullenusa.com/mullen-five-ev-crossover-nominated-for-top-ev-as-part-of-2021-la-auto-shows-zeva-awards,Thursday,567
"Mullen and CCRC Group’s Subsidiary, Tenglong Automotive, Sign Definitive Agreement for Class 1 and Class 2 EV Cargo Vans for Assembly and Sales in US and Mexico Markets",2021-09-21,https://news.mullenusa.com/mullen-and-ccrc-groups-subsidiary-tenglong-automotive-sign-definitive-agreement-for-class-1-and-class-2-ev-cargo-vans-for-assembly-and-sales-in-us-and-mexico-market,Tuesday,590
Mullen Provides Shareholder Update,2021-07-28,https://news.mullenusa.com/mullen-provides-shareholder-update,Wednesday,645
Mullen Set to Rock ’n’ Roll in Memphis,2021-03-18,https://news.mullenusa.com/mullen-set-to-rock-n-roll-in-memphis,Thursday,777
"Mullen Technologies Announces Purchase of Advanced Engineering and Manufacturing Center in Tunica, MS",2021-03-11,https://news.mullenusa.com/mullen-technologies-announces-purchase-of-advanced-engineering-and-manufacturing-center-in-tunica-ms,Thursday,784
Mullen and NexTech Batteries Will Deliver the Most Advanced Lithium Sulfur Battery Technology Available Today,2021-03-08,https://news.mullenusa.com/mullen-and-nextech-batteries-will-deliver-the-most-advanced-lithium-sulfur-battery-technology-available-today,Monday,787
Former Tesla Lead for Advanced Manufacturing Group Joins Mullen Automotive as VP of EV Manufacturing.,2021-01-21,https://news.mullenusa.com/former-tesla-lead-for-advanced-manufacturing-group-joins-mullen-automotive-as-vp-of-ev-manufacturing,Thursday,833
"Mullen Technologies Receives Letter of Intent for Purchase Order of 1,500 MX-05 Electric Vehicles",2020-12-30,https://news.mullenusa.com/mullen-technologies-receives-letter-of-intent-for-purchase-order-of-1500-mx-05-electric-vehicles,Wednesday,855
NETE: Q3 2020 Revenues Improve Despite Continued Shutdowns in NY and California,2020-12-15,https://news.mullenusa.com/nete-q3-2020-revenues-improve-despite-continued-shutdowns,Tuesday,870
"NETE: Net Element Announces LOI for Reverse Merger With Mullen Technologies, Maker of EVs",2020-11-12,https://news.mullenusa.com/net-element-announces-loi-for-reverse-merger-with-mullen-technologies,Thursday,903
Mullen Technologies Building SUV facility in California,2020-11-12,https://news.mullenusa.com/mullen-technologies-building-suv-facility-in-california,Thursday,903
Mullen Technologies is Now Accepting Pre-Orders for its MX-05 Pure Electric All-Wheel Drive SUV,2020-11-01,https://news.mullenusa.com/mullen-technologies-is-now-accepting-pre-orders-for-its-mx-05-pure-electric-all-wheel-drive-suv,Sunday,914
Mullen Technologies to Begin Construction of Electric Vehicle Pilot Facility,2020-09-30,https://news.mullenusa.com/mullen-technologies-to-begin-construction-of-electric-vehicle-pilot-facility,Wednesday,946
Mullen Technologies Launches Mullen Funding Corporation for Captive Finance,2020-01-07,https://news.mullenusa.com/mullen-technologies-launches-mullen-funding-corporation-for-captive-finance,Tuesday,1213
Mullen Technologies Adds Engineering and Finance Depth as Business Scales,2019-11-20,https://news.mullenusa.com/mullen-technologies-adds-engineering-and-finance-depth-as-business-scales,Wednesday,1261
Mullen Providing Aerial Coverage and Commercials for Major NFL and NASCAR Events This Weekend,2019-09-27,https://news.mullenusa.com/mullen-providing-aerial-coverage-and-commercials-for-major-nfl-and-nascar-events-this-weekend,Friday,1315
Mullen Technologies in Washington DC Presenting EV Initiative to Congressional and Senate Committees,2019-09-26,https://news.mullenusa.com/mullen-in-washington-dc-presenting-ev-initiative-to-congressional-and-senate-committees,Thursday,1316
Mullen Technologies Purchases First Northern California Retail Location,2019-09-10,https://news.mullenusa.com/mullen-technologies-purchases-first-northern-california-retail-location,Tuesday,1332
Mullen Technologies to Make Pebble Beach Debut with K50 Electric Luxury Sports Car,2019-08-12,https://news.mullenusa.com/mullen-usa-to-make-pebble-beach-debut-with-k50-electric-luxury-sports-car,Monday,1361
The Qiantu K50 by Mullen at the 2019 New York City E-Prix,2019-07-13,https://news.mullenusa.com/qiantu-k50-by-mullen-at-the-2019-new-york-city-e-prix,Saturday,1391
Qiantu K50 by Mullen Wins Governor’s Choice Award at Balboa Bay Club Car Show,2019-06-16,https://news.mullenusa.com/qiantu-k50-by-mullen-wins-governor-choice-award-balboa-bay-club,Sunday,1418
Mullen Technologies Backing Up Successful Indy 500 With the 2019 Detroit Grand,2019-06-01,https://news.mullenusa.com/mullen-technologies-backing-up-successful-indy-500-with-the-2019-detroit-gran-prix,Saturday,1433
Mullen Technologies Indy 500 TV Ad Breaks The Internet,2019-05-27,https://news.mullenusa.com/mullen-technologies-indy-500-tv-ad,Monday,1438
Mullen Technologies Purchases Premier Dealership Location in Southern California,2019-05-17,https://news.mullenusa.com/mullen-technologies-purchases-premier-dealership-location/,Friday,1448
Mullen Technologies to Produce Qiantu K50 in Washington State,2019-04-29,https://news.mullenusa.com/mullen-technologies-qiantu-k50-washington-state,Monday,1466
Qiantu K50 by Mullen to Debut at the 2019 New York International Auto Show,2019-04-17,https://news.mullenusa.com/qiantuk50-mullen-2019-new-york-international-auto-show,Wednesday,1478
Mullen Technologies Presents the American Debut of the Qiantu K50,2019-04-03,https://news.mullenusa.com/american-debut-qiantu-k50-new-york-international-autoshow,Wednesday,1492
The “Future” of Electric Supercars Arrives in the United States,2019-03-23,https://news.mullenusa.com/future-of-electric-supercars-in-usa/,Saturday,1503
Mullen Technologies & Qiantu Motor Signed Partnership Agreement,2018-12-12,https://news.mullenusa.com/mullen-technologies-and-qiantu-motor-signed-partnership-agreement,Wednesday,1604
CarHub Now a Subsidiary of Mullen Technologies,2018-10-26,https://news.mullenusa.com/carhub-acquired-by-mullen,Friday,1651
